 date     mainland     hubei 
 1.20      77           72   
 1.21      149         105   
 1.22      131          69   
 1.23      259          105  
 1.24      444          180  
 1.25      688          323  
 1.26      769          371  
 1.27      1771         1291 
 1.28      1459         840  
 1.29      1737         1032 
 1.30      1982         1220 
 1.31      2102         1347 
 2.01      2590         1921 
 2.02      2829         2103 
 2.03      3235         2345 
 2.04      3887         3156 
 2.05      3694         2987 
 2.06      3143         2447 
 2.07      3399         2841 
 2.08      2656         2147 
 2.09      3062         2618 
 2.10      2478         2097 
 2.11      2015         1638 
 2.12      15152        14840
 2.13      5090         4823 
 2.14      2641         2420 
 2.15      2009         1843 
 2.16      2048         1933 
 2.17      1886         1807 
 2.18      1749         1693 
 2.19      394          349  
 2.20      889          631  
 2.21      397          366  
 2.22      648          630  
 2.23      409          398  
 2.24      508          499  
 2.25      406          401  
 2.26      433          409  
 2.27      327          318  
 2.28      427          423  
 2.29      573          570  
 3.01      202          196  
 3.02      125          114  
 3.03      119          115  
 3.04      139          134  
 3.05      143          126  
 3.06      99           74   
 3.07      44           41   
 3.08      40           36   
 3.09      19           17   
 3.10      24           13   
 3.11      15           8    
 3.12      12           5    
 3.13      11           4    
 3.14      20           4    
 3.15      16           4    
